Title,Description,Source,Published Date,URL
Shipping giant Maersk sees another year of disruption for global trade,"From Trump tariffs on China and Mexico to the threat of a U.S. ports strike, the supply chain expects another year of disruption, but also strong demand.",CNBC,2024-12-13T14:39:26Z,https://www.cnbc.com/2024/12/13/shipping-giant-maersk-sees-another-year-of-disruption-for-global-trade.html
Retail outages drag into second week after Blue Yonder ransomware attack,"A ransomware attack on supply chain software giant Blue Yonder continues to cause disruption to the company’s customers, almost two weeks after the outage",TechCrunch,2024-12-02T12:38:39Z,https://techcrunch.com/2024/12/02/retail-outages-drag-into-second-week-after-blue-yonder-ransomware-attack/
"UK, US retail giants hit by ongoing disruption after ransomware attack on supply chain firm","The Arizona-based firm said it has ""no timeline"" for restoration, following a cyberattack that caused disruption at companies around the world.",TechCrunch,2024-11-26T14:00:05Z,https://techcrunch.com/2024/11/26/major-uk-us-stores-face-ongoing-disruption-after-ransomware-attack-hits-supply-chain-giant-blue-yonder/
"Medical equipment makers call for more domestic production, tariffs",The American Medical Manufacturers Association is advocating for tax incentives and tariffs to encourage more U.S. medical equipment production amid concerns over supply chain disruption following recent hurricanes and ongoing competition with foreign trade partners.,FreightWaves,2024-11-04T15:52:11Z,https://www.freightwaves.com/news/medical-equipment-makers-call-for-more-domestic-production-tariffs
SONAR's data is free during the hurricane disruptions,"Due to the high risk of supply chain disruption, SONAR is granting free access to its data platform for the next 10 days, until October 18.",FreightWaves,2024-10-09T17:54:32Z,https://www.freightwaves.com/news/sonar-data-is-free-during-the-hurricane-disruptions
Stay ahead of hurricane threats with SONAR,"Due to the high risk of supply chain disruption, SONAR is granting free access to its data platform for the next 10 days, until October 18.",FreightWaves,2024-10-08T18:45:56Z,https://www.freightwaves.com/news/10-days-of-sonar-free
"Taiwan earthquake will disrupt chipmakers that supply Apple, Nvidia: analysts","Taiwan's biggest earthquake since 1999 is likely to cause some disruption across Asia's semiconductor supply chain, analysts said, after chipmakers from TSMC to UMC halted some operations to inspect facilities and relocate employees.",New York Post,2024-04-03T17:00:50Z,https://nypost.com/2024/04/03/business/taiwan-earthquake-will-disrupt-chipmakers-that-supply-apple-nvidia-analysts/
Port of Baltimore calamity shows supply chain’s vulnerabilities,New technology and processes in supply chains have helped make the industry more resilient — but not enough to withstand every possible disruption.,FreightWaves,2024-04-01T16:10:37Z,https://www.freightwaves.com/news/port-of-baltimore-calamity-shows-supply-chains-vulnerabilities
Leggett's 8% Yield Is Great; 8% Yielding Aristocrats Are Much Better Buys,Leggett's pandemic supply chain disruption and inflation impacts have left it in a weakened state. Find out why we think LEG stock is a speculative buy.,Seeking Alpha,2023-12-07T12:30:00Z,https://seekingalpha.com/article/4656433-leggett-8-percent-yield-is-great-8-percent-yielding-aristocrats-much-better-buys
How a Fertilizer Shortage Is Spreading Desperate Hunger,"Across Africa and in parts of Asia, disruption to the supply chain for fertilizer is raising food prices and increasing malnutrition.",The New York Times,2023-10-15T09:02:12Z,https://www.nytimes.com/2023/10/15/business/nigeria-fertilizer-shortage.html
